Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
85.83,70.78,78.65,68.94,1.15,55,50,72,9,6.47,6.69,6.91,1,1.07
84.37,71.4,76.44,69.61,1.04,55,50,72,9,7.2,7.28,7.35,1,43.46
86.6,70.09,77.45,68.53,1.05,55,50,72,9,8.79,8.89,8.98,2,0.68
85.3,74.04,78.24,68.47,1.27,55,50,72,9,3.64,3.86,4.08,3,1.46
83.78,73.03,78.08,69.14,1.01,55,50,72,9,7.84,7.86,7.89,2,0.68
85.19,73.61,78.57,70.37,1.0,55,50,72,9,4.4,4.4,4.4,1,4.2
85.19,72.82,77.53,69.21,1.11,55,50,72,9,8.1,8.3,8.5,0,40.04
85.09,72.96,77.6,70.16,1.02,55,50,72,9,4.91,4.93,4.96,3,0.59
85.3,71.89,78.57,68.4,1.05,55,50,72,9,8.01,8.1,8.2,3,1.27
87.77,72.96,77.21,70.64,1.04,55,50,72,9,4.93,4.98,5.03,4,3.61
89.3,74.12,77.37,68.0,1.16,55,50,72,9,8.3,8.59,8.89,2,0.29
85.09,71.82,77.6,70.99,1.34,55,50,72,9,3.27,3.52,3.76,3,0.49
85.3,73.46,79.14,69.75,1.01,55,50,72,9,8.42,8.45,8.47,1,0.39
86.16,73.25,79.3,69.96,1.13,55,50,72,9,4.03,4.15,4.27,2,1.07
84.17,74.48,76.9,69.34,1.16,55,50,72,9,3.96,4.1,4.25,2,0.29
85.83,73.1,77.45,68.2,1.18,55,50,72,9,4.18,4.35,4.52,2,0.39
69.68,42.53,75.15,76.51,1.17,24,12,28,8,20.07,20.7,21.34,2,0.0
68.94,43.02,74.56,75.15,1.07,24,12,28,8,4.66,4.74,4.81,1,0.0
66.01,41.83,73.9,75.07,1.08,24,12,28,8,18.46,18.75,19.04,3,100.0
68.67,43.3,75.15,74.63,1.01,24,12,28,8,19.58,19.63,19.68,1,0.0
65.36,41.76,74.85,75.07,1.12,24,12,28,8,19.48,19.92,20.36,2,0.0
66.6,42.67,75.22,75.67,1.88,24,12,28,8,3.54,4.15,4.76,2,0.0
66.34,41.48,75.07,75.9,1.59,24,12,28,8,3.34,3.76,4.18,1,0.0
65.88,41.12,75.83,75.3,1.66,24,12,28,8,4.18,4.74,5.3,0,0.0
77.13,76.98,73.17,71.82,1.23,37,27,49,8,13.4,14.01,14.62,0,0.78
80.83,78.0,72.89,72.11,1.06,37,27,49,8,11.86,12.01,12.16,1,1.17
75.6,78.32,73.03,72.04,1.09,37,27,49,8,12.26,12.5,12.74,1,2.44
78.81,78.32,72.53,72.67,1.05,37,27,49,8,12.84,12.99,13.14,2,6.35
82.36,78.81,73.53,72.96,1.18,37,27,49,8,12.57,13.04,13.5,1,41.8
80.66,77.53,71.82,75.22,1.27,37,27,49,8,11.67,12.31,12.94,2,41.41
76.13,77.6,74.04,72.96,1.12,37,27,49,8,11.43,11.72,12.01,2,4.2
78.97,78.49,72.53,73.1,1.03,37,27,49,8,11.4,11.48,11.55,3,1.86
87.77,75.22,87.29,39.46,1.04,80,45,63,9,4.64,4.69,4.74,2,0.59
86.94,58.44,66.14,37.52,1.15,80,45,63,9,6.37,6.59,6.81,3,3.71
86.83,37.52,84.98,38.5,1.14,80,45,63,9,5.54,5.71,5.88,0,0.0
87.18,55.14,84.78,38.05,1.02,80,45,63,9,5.49,5.52,5.54,1,4.59
85.4,46.3,84.58,40.62,1.09,80,45,63,9,5.88,6.01,6.13,3,16.7
85.09,58.12,85.19,38.27,1.25,80,45,63,9,5.37,5.66,5.96,1,14.16
86.38,37.97,86.49,38.5,1.05,80,45,63,9,7.01,7.08,7.15,2,2.83
85.09,36.68,87.18,37.14,1.26,80,45,63,9,5.49,5.81,6.13,2,2.44
85.94,38.12,84.88,39.31,1.06,80,45,63,9,7.13,7.23,7.32,3,5.27
84.88,38.35,87.77,36.45,1.06,80,45,63,9,5.74,5.81,5.88,1,6.25
86.38,48.3,54.5,38.79,1.1,80,45,63,9,6.2,6.35,6.49,1,16.89
87.18,47.37,86.16,40.9,1.2,80,45,63,9,7.25,7.57,7.89,4,0.1
87.77,59.26,86.05,38.64,1.4,80,45,63,9,6.71,7.28,7.84,2,13.48
87.41,60.22,85.62,38.42,1.2,80,45,63,9,6.03,6.3,6.57,2,1.86
86.38,37.59,84.88,38.72,1.11,80,45,63,9,6.81,6.98,7.15,2,3.42
87.41,48.17,86.49,64.9,1.28,80,45,63,9,6.35,6.74,7.13,3,7.71
17.96,37.22,18.24,37.22,1.07,21,6,13,8,20.87,21.14,21.41,1,0.0
18.38,38.5,19.96,37.29,1.26,21,6,13,8,5.08,5.37,5.66,1,0.0
17.96,38.05,18.79,37.06,1.21,21,6,13,8,21.92,22.75,23.58,0,0.0
18.24,39.38,17.82,37.06,1.09,21,6,13,8,16.31,16.6,16.9,3,100.0
20.09,37.97,17.68,35.98,1.31,21,6,13,8,5.35,5.71,6.08,2,0.0
17.96,37.06,17.96,37.52,1.04,21,6,13,8,18.8,18.94,19.09,2,0.0
18.38,38.94,18.65,37.06,1.04,21,6,13,8,5.42,5.47,5.52,1,0.0
19.19,35.75,17.1,34.24,1.22,21,6,13,8,4.52,4.74,4.96,2,0.0
85.51,84.47,85.83,85.72,1.0,234,288,383,9,5.47,5.47,5.47,2,0.0
85.51,84.78,86.16,88.01,1.15,234,288,383,9,5.96,6.15,6.35,2,11.52
83.78,86.05,86.38,88.01,1.05,234,288,383,9,6.42,6.49,6.57,4,10.94
87.29,85.94,84.78,87.06,1.07,234,288,383,9,6.06,6.15,6.25,0,0.0
85.19,86.94,86.05,89.44,1.18,234,288,383,9,6.2,6.44,6.69,1,0.0
85.72,86.6,85.19,89.03,1.07,234,288,383,9,5.96,6.06,6.15,3,52.44
85.3,85.3,84.37,86.16,1.06,234,288,383,9,6.84,6.93,7.03,3,0.0
85.4,84.98,85.62,88.64,1.0,234,288,383,9,6.54,6.54,6.54,2,0.0
85.09,86.16,85.62,86.38,1.21,234,288,383,9,6.25,6.54,6.84,2,0.0
85.62,85.94,86.27,88.01,1.22,234,288,383,9,5.96,6.25,6.54,1,0.0
85.94,86.38,85.19,88.01,1.06,234,288,383,9,6.74,6.84,6.93,1,11.43
83.98,85.19,86.05,88.14,1.13,234,288,383,9,5.93,6.1,6.27,2,0.0
85.83,85.3,87.77,87.89,1.24,234,288,383,9,5.57,5.86,6.15,3,13.67
84.37,85.62,86.38,88.77,1.02,234,288,383,9,6.57,6.59,6.62,2,0.0
85.62,83.39,86.27,86.72,1.09,234,288,383,9,5.79,5.91,6.03,1,0.0
84.98,84.98,85.62,87.06,1.27,234,288,383,9,5.81,6.15,6.49,3,0.0
58.63,54.76,63.8,59.2,1.02,22,18,34,7,22.92,23.0,23.07,1,45.8
54.63,53.8,63.67,59.39,1.05,22,18,34,7,23.36,23.58,23.8,0,5.57
55.39,55.33,64.0,58.0,1.01,22,18,34,7,24.63,24.66,24.68,2,6.05
55.14,55.01,61.49,60.09,1.22,22,18,34,7,24.27,25.2,26.12,1,42.58
91.2,81.99,89.17,88.64,1.05,100,114,118,10,3.76,3.81,3.86,3,0.49
90.43,84.47,89.03,87.18,1.32,100,114,118,10,3.05,3.27,3.49,3,0.98
91.52,82.82,90.28,87.77,1.49,100,114,118,10,2.51,2.78,3.05,5,0.2
91.2,82.45,88.39,86.83,1.06,100,114,118,10,3.17,3.22,3.27,3,1.17
90.88,80.49,90.43,88.64,1.13,100,114,118,10,3.22,3.32,3.42,2,3.91
89.3,82.36,89.03,84.37,1.09,100,114,118,10,3.39,3.47,3.54,2,10.84
90.58,83.1,89.57,87.29,1.3,100,114,118,10,2.93,3.12,3.32,4,0.39
91.36,79.72,83.78,87.89,1.16,100,114,118,10,2.54,2.64,2.73,2,0.0
89.71,83.49,89.71,84.47,1.51,100,114,118,10,3.39,3.76,4.13,2,0.0
90.0,80.49,89.85,86.83,1.22,100,114,118,10,2.88,3.03,3.17,4,12.99
90.0,82.82,83.98,88.39,1.13,100,114,118,10,2.32,2.39,2.47,3,0.29
91.69,65.55,89.85,83.58,1.4,100,114,118,10,2.78,3.03,3.27,3,10.84
91.69,79.64,88.14,88.39,1.2,100,114,118,10,2.05,2.15,2.25,4,0.0
